Italian,English,,,,,
dietro,is behind the,,,,,
dentro,is inside of the,,,,,
fronte,is in front of the,,,,,
vicino,is next to the,,,,,
cima,is on top of the,,,,,
sotto,is under the,,,,,
accanto,is next to the,,,,,
davanti,is in front of the,,,,,
blu,blue,,,,,
giallo,yellow,,,,,
verde,green,,,,,
rosso,red,,,,,
rosa,pink,,,,,
viola,purple,,,,,
rossa,red,,,,,
gialla,yellow,,,,,
scatola,box,,,,,
gatto,cat,,,,,
coniglio,bunny,,,,,
cane,dog,,,,,
borsa,bag,,,,,
albero,tree,,,,,
letto,bed,,,,,
tavolo,table,,,,,